Consumo        CC        CV        Peso        Acel
16        5735        145        1480        14
15        5211        150        1499        15
17        5752        148        1552        14
15        6555        170        1556        12
8        1393        52        678        22
10        1606        60        721        22
9        1606        79        751        18
9        2294        72        855        14
9        2294        92        857        15
10        3277        81        1004        18
10        3802        90        1028        18
13        4228        95        1064        18
11        3687        100        1077        15
11        4097        105        1117        15
13        4097        78        1191        21
13        4097        110        1215        16
12        3687        100        1217        18
18        5211        150        1251        14
18        4949        130        1290        15
18        5211        150        1313        13
15        4982        120        1320        14
18        5735        145        1351        12
15        5211        150        1396        13
13        4998        140        1405        13
16        5752        152        1405        13
14        5735        180        1460        12
8        1606        63        683        17
7        1606        83        691        16
8        1819        80        718        15
9        1999        96        766        16
10        2474        88        913        16
9        2294        89        918        16
12        3785        105        1141        17
13        4097        110        1173        16
13        4097        98        1175        19
12        3687        100        1210        18
13        4998        145        1293        13
14        4261        110        1353        19
15        5211        145        1380        14
15        5735        170        1388        11
15        6555        180        1406        11
16        4949        130        1431        15
15        6555        190        1441        12
15        5752        149        1445        15
7        1606        66        600        14
8        1606        68        718        17
8        1721        75        743        15
9        2294        88        906        15
10        2556        105        915        17
10        2474        85        951        18
12        3277        85        988        16
11        3277        85        1023        17
12        3277        95        1051        18
13        4949        139        1068        11
12        3802        90        1070        17
12        4261        110        1121        16
11        3785        105        1126        16
13        4228        120        1136        15
12        4998        145        1141        13
12        3687        100        1143        17
13        3785        165        1148        13
12        3785        105        1178        19
12        4949        139        1190        13
13        3687        110        1206        19
12        5211        140        1245        13
13        5211        140        1360        14
7        1606        80        638        14
7        1721        70        716        15
7        1721        70        733        13
7        2474        90        852        13
8        2835        115        865        11
8        2474        90        890        16
9        1983        80        890        15
9        2835        115        900        13
11        2294        88        963        17
12        3277        85        996        18
11        3785        115        1081        15
12        3802        90        1088        18
11        3687        110        1120        17
10        4261        90        1140        22
12        4375        125        1201        15
13        4949        129        1241        13
13        5211        135        1276        15
14        4998        130        1280        15
10        5735        125        1300        17
13        5899        150        1313        13
14        5752        138        1318        13
15        5752        142        1351        14
14        5735        155        1453        15
7        1606        70        706        16
8        2474        90        892        17
8        2556        105        933        14
9        2294        88        956        18
10        2294        NA        968        14
10        2474        90        1001        20
12        3687        90        1127        19
6        1409        64        625        16
7        1606        65        681        16
7        1721        63        738        15
8        1606        65        793        21
8        2212        84        795        13
9        2212        84        830        16
9        2556        92        873        14
9        2474        84        878        16
10        2835        110        908        13
12        3277        88        1020        17
11        3785        110        1138        16
13        3687        85        1155        17
9        5735        105        1241        19
6        1721        63        708        15
7        1606        70        708        17
7        2212        84        765        12
7        2212        84        790        13
7        1835        88        798        18
8        2212        84        841        16
8        1835        85        858        16
9        2556        92        861        15
8        1835        88        868        20
8        1966        79        875        19
9        1835        88        880        19
8        1950        82        906        19
9        2474        90        911        18
9        2294        86        930        16
11        3802        112        945        15
10        2294        92        955        16
9        2966        110        981        16
9        2474        90        983        17
6        4293        85        1005        17
9        1590        46        611        21
9        1983        113        744        13
9        1704        95        791        18
10        1753        90        810        15
9        1803        87        890        18
9        1590        60        611        19
8        1442        76        688        15
8        1295        70        691        20
8        1901        90        707        14
9        1573        69        729        18
10        1590        54        751        24
11        1983        76        837        18
13        1983        112        977        15
11        1966        87        993        20
8        1114        49        622        20
9        1590        46        650        21
10        1901        75        719        16
9        1606        90        755        16
12        1868        91        860        14
10        1983        110        886        14
12        1983        112        956        16
9        1295        67        654        16
8        1295        67        666        16
10        1475        75        702        16
8        1606        83        739        17
9        1901        75        748        14
9        1590        78        766        15
8        1475        70        645        14
9        1475        71        741        17
9        1983        115        890        14
10        1885        95        898        15
11        1983        98        981        15
10        1966        88        985        17
8        1590        71        608        12
8        1475        70        645        14
9        1655        83        734        15
9        1901        81        740        17
8        1753        86        821        16
12        2130        102        1050        16
12        1966        88        1090        22
14        2753        120        1273        17
7        1295        58        608        19
8        1590        78        646        15
8        1590        78        730        14
11        1983        110        866        13
5        1475        48        661        22
7        1458        71        663        15
11        1983        115        931        16
12        2147        103        943        16
14        2671        125        1046        14
15        2671        133        1136        16
7        1458        71        641        14
6        1491        69        710        15
9        2311        71        1063        25
9        2999        77        1176        20
8        1458        62        615        15
5        1475        48        695        22
6        1606        76        714        15
7        1590        78        729        16
5        1475        48        778        24
7        1999        88        833        15
6        1983        67        983        20
8        2393        67        1083        22
7        1721        74        730        14
8        2376        76        1053        20
8        2311        80        1076        20
7        1721        74        660        15
5        1590        52        710        25
9        1590        88        710        15
10        1852        95        790        15
7        1180        69        537        18
8        1163        65        591        19
9        1590        88        710        15
9        1852        95        742        14
9        1590        88        700        17
10        1852        95        759        16
8        1590        92        762        17
12        1147        97        776        14
10        1966        97        835        15
13        1147        90        708        14
12        1590        88        759        19
11        1770        94        793        17
12        2556        122        935        14
8        1245        52        549        17
7        1163        65        612        21
8        1295        67        650        19
7        1360        61        667        19
9        1770        93        797        16
10        1966        97        829        15
7        1491        53        598        18
8        1590        75        723        16
10        1950        97        848        17
10        2196        96        900        14
7        1491        53        598        17
7        1393        70        663        17
8        1590        75        718        16
12        2556        108        976        16
7        1393        70        648        17
8        1590        67        661        16
7        1606        68        681        19
9        1590        75        755        18
11        1311        110        906        14
11        2393        97        938        15
7        1491        60        600        16
7        1278        52        661        19
6        1393        70        690        19
8        1606        68        711        17
9        1950        97        766        15
10        1950        97        801        15
11        2196        95        838        15
9        2196        95        853        14
7        1409        65        658        15
7        1393        65        673        19
5        1491        67        616        14
6        1458        60        656        19
6        1409        65        673        16
5        1409        65        703        18
6        1393        65        703        19
7        1590        67        715        18
7        1770        75        755        15
7        1753        72        763        17
10        1147        100        806        13
6        1950        92        811        15
8        1966        75        847        18
8        2196        90        903        16
7        2753        132        970        11
6        1295        58        585        17
7        1327        60        586        16
6        1393        65        658        19
7        1491        68        661        16
6        1458        62        683        17
7        1590        67        688        18
7        1753        75        736        14
7        1770        75        783        17
7        1950        100        871        15
7        1966        74        878        18
9        2753        116        966        13
10        2393        120        976        14
6        1491        67        655        15
7        1491        67        655        16
8        1491        68        656        18
6        1491        67        665        16
6        1491        68        675        18
7        1966        88        720        15
7        1753        75        735        15
7        1770        70        748        17
7        2360        96        888        14
